STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,citizen,Country of citizenship,sex,Sex,age,Age class,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2017-01,,75105,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2017-02,,73360,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2017-03,,71110,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2017-04,,69225,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2017-05,,67340,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2017-06,,65490,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2017-07,,63760,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2017-08,,62830,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2017-09,,61150,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2017-10,,60500,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2017-11,,58600,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2017-12,,57655,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2018-01,,55105,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2018-02,,53465,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2018-03,,51430,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2018-04,,49425,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2018-05,,47715,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2018-06,,46065,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2018-07,,44485,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2018-08,,43255,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2018-09,,41940,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2018-10,,40440,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2018-11,,38900,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2018-12,,38045,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2019-01,,36720,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2019-02,,35570,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2019-03,,34275,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2019-04,,32895,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2019-05,,31930,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2019-06,,31190,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2019-07,,30345,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2019-08,,29790,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2019-09,,29075,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2019-10,,28165,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2019-11,,27395,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2019-12,,27140,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2020-01,,26840,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2020-02,,25860,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2020-03,,25160,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2020-04,,24505,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2020-05,,23915,,,,,
dataflow,ESTAT:MIGR_ASYPENCTZM(1.0),"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data",M,Monthly,PER,Person,EXT_EU27_2020,Extra-EU27 (from 2020),T,Total,TOTAL,Total,AT,Austria,2020-06,,22995,,,,,
